, ,2018,2017,2016,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2017/18,Relevant degree,Internships[15]
68,,69.0,71,-,-,University of Victoria: Gustavson,Canada,Master of Global Business,488862707.0,488862707.0,441.0,663.0,738.0,791.0,803.0,59 (55)13,422.0,517.0,211.0,562.0,607.0,5314.0,1228.0,2814.0,10.0,844.0,"C$30,326",140.0,57.0,Yes,1000.0
69,,70.0,74,83,760,University of Bath School of Management,UK,MSc in Management,505623522.0,505623522.0,501.0,6917.0,299.0,841.0,5930.0,90 (76)6,364.0,664.0,272.0,640.0,7613.0,209.0,835.0,9311.0,0.0,1000.0,"£19,500",120.0,91.0,No,22.0
70,,71.0,67,63,671,EM Normandie,France,EM Normandie Master in Management**,49871439.0,50053771.0,393.0,832.0,7523.0,810.0,7720.0,88 (74)2,481.0,500.0,5313.0,321.0,240.0,270.0,316.0,355.0,10.0,848.0,"€18,900",280.0,601.0,No,1000.0
71,,72.0,65,65,672,NHH Norwegian School of Economics,Norway,MSc in Economics and Business Administration,67512352.0,67173371.0,394.0,140.0,796.0,862.0,995.0,95 (29)13,260.0,411.0,450.0,333.0,131.0,99.0,714.0,578.0,10.0,972.0,"NKr1,560",220.0,634.0,Yes,91.0
72,,72.0,80,76,76,EM Strasbourg Business School,France,MSc in Management**,521122672.0,520782526.0,391.0,571.0,4531.0,822.0,763.0,90 (81)21,601.0,541.0,280.0,252.0,141.0,250.0,339.0,183.0,20.0,770.0,"€17,800",360.0,389.0,No,1000.0
73,,74.0,88,75,79,Alliance Manchester Business School,UK,MSc in Business Analysis and Strategic Management,5398810233.0,5398810233.0,5313.0,861.0,5118.0,810.0,4815.0,87 (45)14,360.0,6514.0,431.0,451.0,942.0,75.0,3617.0,926.0,0.0,911.0,"£22,000",140.0,95.0,No,847.0
74,,75.0,63,89,76,Henley Business School,UK,MSc in Management,474746978.0,474746978.0,706.0,7324.0,161.0,821.0,6519.0,92 (41)22,492.0,7916.0,360.0,545.0,903.0,367.0,679.0,978.0,0.0,871.0,"£19,800",120.0,42.0,No,0.0
75,,76.0,-,-,-,TUM School of Management,Germany,MSc in Management and Technology,79467.0,79347.0,31.0,25.0,85.0,85.0,83.0,91 (18),31.0,32.0,17.0,20.0,30.0,6.0,92.0,50.0,1.0,100.0,€0,29.0,448.0,Yes,89.0
76,,77.0,84,-,-,ISCTE Business School,Portugal,MSc in Business Administration,408061068.0,408061068.0,513.0,275.0,2152.0,841.0,627.0,95 (60)20,470.0,520.0,500.0,90.0,260.0,780.0,893.0,817.0,0.0,1002.0,"€9,800",230.0,61.0,No,88.0
77,,77.0,81,67,750,Burgundy School of Business,France,Master in Management**,497971716.0,496411765.0,387.0,771.0,803.0,770.0,557.0,93 (92)1,431.0,504.0,4016.0,411.0,275.0,297.0,665.0,261.0,20.0,816.0,"€19,000",320.0,512.0,No,1000.0
78,,79.0,61,64,685,Leeds University Business School,UK,MSc in International Business,450823245.0,450822240.0,495.0,953.0,3414.0,864.0,3711.0,84 (68)11,383.0,581.0,646.0,451.0,883.0,181.0,614.0,907.0,0.0,833.0,"£24,000",140.0,145.0,No,133.0
79,,80.0,64,58,6710,University of Strathclyde Business School,UK,Strathclyde MSc in Business and Management,523412614.0,523412614.0,584.0,677.0,8146.0,825.0,861.0,91 (79)3,360.0,494.0,350.0,481.0,922.0,470.0,865.0,8416.0,0.0,792.0,"£19,000",120.0,37.0,No,307.0
80,,81.0,70,70,745,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,514065553.0,514065774.0,8213.0,71.0,9039.0,820.0,9833.0,97 (43)1,440.0,583.0,110.0,71.0,82.0,610.0,8114.0,5510.0,10.0,830.0,"Ft1,580,000",210.0,253.0,No,21.0
81,,82.0,76,-,-,Singapore Management University: Lee Kong Chian,Singapore,MSc in Management,597544408.0,597544408.0,360.0,965.0,862.0,747.0,5613.0,53 (91)16,220.0,582.0,262.0,624.0,963.0,530.0,3712.0,865.0,11.0,983.0,"S$41,081",120.0,132.0,No,0.0
82,,83.0,-,-,-,University of Ljubljana Faculty of Economics,Slovenia,International Master in Business and Organisation,36659.0,36659.0,44.0,2.0,13.0,84.0,67.0,76 (100),49.0,54.0,23.0,4.0,41.0,77.0,74.0,67.0,0.0,82.0,"€8,032",12.0,37.0,No,38.0
83,,84.0,68,57,70,Université Paris-Dauphine,France,Master in Management,582501265.0,582501265.0,262.0,2214.0,998.0,850.0,5012.0,90 (55)90,410.0,720.0,602.0,221.0,212.0,6015.0,3810.0,681.0,10.0,922.0,"€6,350",273.0,158.0,Yes,1000.0
84,,85.0,86,86,86,DCU Business School,Ireland,MSc in Management,492423229.0,492423229.0,4410.0,265.0,9128.0,872.0,901.0,100 (88)7,472.0,4517.0,420.0,196.0,528.0,170.0,6312.0,978.0,0.0,773.0,"€14,000",120.0,87.0,No,0.0
85,,86.0,-,-,-,University of Liverpool Management School,UK,Master in Management,42743.0,42743.0,98.0,89.0,41.0,79.0,66.0,78 (52),41.0,38.0,31.0,51.0,67.0,23.0,84.0,96.0,0.0,89.0,"£18,000",12.0,73.0,No,0.0
86,,87.0,77,71,784,BI Norwegian Business School,Norway,MSc in Business,64328526.0,649781360.0,344.0,351.0,10013.0,832.0,613.0,97 (96)1,303.0,441.0,500.0,283.0,162.0,120.0,963.0,521.0,0.0,805.0,"NKr191,000",240.0,320.0,Yes,180.0
87,,88.0,79,74,809,University of Bradford School of Management,UK,MSc in Management,485426552.0,485426552.0,5511.0,4420.0,547.0,800.0,936.0,100 (43)0,377.0,394.0,334.0,4113.0,758.0,1726.0,4922.0,956.0,0.0,842.0,"£15,650",142.0,69.0,No,0.0
88,,89.0,94,-,-,Luiss University,Italy,Master in Management,490324205.0,490324205.0,672.0,6222.0,35.0,791.0,7416.0,73 (74)18,293.0,549.0,330.0,154.0,122.0,890.0,5815.0,469.0,11.0,7122.0,"€22,000",250.0,204.0,Yes,1000.0
89,,89.0,-,-,-,University of Antwerp,Belgium,Master Applied Economic Sciences: Business Economics,47631.0,47631.0,38.0,1.0,53.0,82.0,100.0,93 (83),34.0,41.0,18.0,19.0,18.0,0.0,85.0,73.0,0.0,100.0,"€2,890",19.0,208.0,Yes,8.0
90,,91.0,83,80,854,University of Exeter Business School,UK,MSc in International Management,512093057.0,512093057.0,5512.0,545.0,8214.0,806.0,528.0,80 (47)40,406.0,3417.0,202.0,463.0,6020.0,204.0,5426.0,872.0,0.0,824.0,"£19,500",121.0,96.0,No,0.0
91,,92.0,78,-,-,Brunel Business School,UK,MSc in Management,4458439.0,4458439.0,565.0,985.0,721.0,817.0,5810.0,n/a0,395.0,4612.0,6035.0,551.0,940.0,0.0,471.0,947.0,0.0,7916.0,"£15,750",160.0,148.0,No,21.0
92,,93.0,-,-,-,ISC Paris,France,Master in Management**,55180.0,55180.0,36.0,79.0,65.0,80.0,88.0,82 (76),47.0,66.0,29.0,25.0,14.0,7.0,55.0,38.0,1.0,80.0,"€29,000",30.0,425.0,No,100.0
93,,94.0,75,60,7615,La Rochelle Business School,France,La Rochelle Master in Management**,5078878.0,51262572.0,361.0,721.0,9715.0,791.0,8720.0,91 (65)6,659.0,652.0,2013.0,522.0,2810.0,555.0,519.0,72.0,20.0,712.0,"€26,200",273.0,298.0,No,1000.0
94,,95.0,84,78,866,Politecnico di Milano School of Management,Italy,MSc in Management Engineering,463432174.0,458693135.0,523.0,314.0,144.0,760.0,394.0,98 (72)2,370.0,362.0,410.0,101.0,198.0,590.0,8816.0,641.0,11.0,792.0,"€7,452",305.0,708.0,No,8232.0
95,,96.0,91,88,92,"Adam Smith Business School, University of Glasgow",UK,MSc in Management,374103588.0,374103588.0,554.0,994.0,698.0,802.0,2517.0,80 (38)20,391.0,651.0,273.0,633.0,992.0,91.0,901.0,978.0,0.0,8411.0,"£19,500",120.0,326.0,No,0.0
