, ,2018,2017,2016,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2017/18,Relevant degree,Internships[15]
0,,1.0,1,1,10,University of St Gallen,Switzerland,MA in Strategy and International Management,1086215828.0,1086215828.0,5413.0,185.0,9225.0,931.0,10.0,98 (100)1,160.0,5010.0,326.0,755.0,987.0,533.0,42.0,20.0,10.0,1000.0,"SFr9,978",251.0,58.0,Yes,1000.0
1,,2.0,2,2,20,HEC Paris,France,HEC MSc in Management**,980692627.0,962492896.0,721.0,373.0,320.0,911.0,106.0,96 (82)0,190.0,372.0,130.0,701.0,465.0,670.0,21.0,112.0,20.0,1000.0,"€37,000",180.0,491.0,No,906.0
2,,3.0,4,6,41,London Business School,UK,Masters in Management,915894693.0,898014539.0,630.0,561.0,3019.0,920.0,80.0,96 (98)1,240.0,465.0,5011.0,823.0,943.0,720.0,54.0,8223.0,10.0,991.0,"£29,900",120.0,248.0,No,1040.0
3,,4.0,5,3,40,Essec Business School,France / Singapore,MSc in Management**,939163810.0,934614394.0,639.0,481.0,5520.0,901.0,131.0,94 (70)1,343.0,466.0,380.0,561.0,382.0,697.0,165.0,143.0,10.0,990.0,"€40,000",210.0,815.0,No,1000.0
4,,5.0,6,4,51,ESCP Europe,FR / UK / DE / ES / IT,ESCP Europe Master in Management**,812822950.0,803462131.0,491.0,638.0,372.0,871.0,3310.0,98 (90)1,380.0,521.0,344.0,782.0,863.0,564.0,184.0,60.0,20.0,991.0,"€36,800",180.0,892.0,No,1000.0
5,,6.0,10,11,91,Università Bocconi,Italy,MSc in International Management,772952407.0,774522029.0,614.0,513.0,86.0,872.0,61.0,100 (81)2,401.0,488.0,285.0,341.0,351.0,721.0,155.0,170.0,10.0,981.0,"€26,652",262.0,143.0,No,1000.0
6,,7.0,15,22,15,University College Dublin: Smurfit,Ireland,MSc in International Management,68400505.0,68400505.0,4511.0,363.0,3542.0,892.0,245.0,95 (97)9,353.0,5210.0,297.0,500.0,810.0,542.0,16.0,914.0,20.0,1000.0,"€18,300",130.0,42.0,Yes,1000.0
7,,8.0,11,5,81,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,78922326.0,78922326.0,455.0,233.0,220.0,881.0,4515.0,88 (100)1,242.0,564.0,337.0,553.0,633.0,311.0,36.0,132.0,20.0,1000.0,"€26,050",190.0,63.0,Yes,633.0
8,,9.0,9,-,-,Cems,See table note,Cems Masters in International Management,801514049.0,802003867.0,432.0,281.0,263.0,882.0,171.0,98 (55)0,322.0,501.0,313.0,360.0,491.0,950.0,82.0,51.0,20.0,963.0,"€12,681",120.0,1251.0,No,1000.0
9,,10.0,3,7,70,IE Business School,Spain,Master in Management,7947511138.0,7978411405.0,699.0,7625.0,103.0,883.0,516.0,85 (89)8,402.0,422.0,471.0,653.0,799.0,906.0,103.0,7921.0,10.0,980.0,"€35,200",100.0,639.0,No,234.0
10,,11.0,8,9,91,Esade Business School,Spain,MSc in International Management,809666422.0,816156746.0,659.0,505.0,2516.0,872.0,191.0,84 (93)10,361.0,4410.0,2012.0,401.0,953.0,804.0,117.0,536.0,10.0,931.0,"€26,500",130.0,131.0,Yes,344.0
11,,12.0,23,28,2111,Stockholm School of Economics,Sweden,MSc in International Business,757929938.0,757929938.0,492.0,243.0,835.0,911.0,288.0,88 (100)12,261.0,5815.0,427.0,332.0,745.0,3711.0,1435.0,41.0,20.0,945.0,"SKr300,000",231.0,53.0,No,1000.0
12,,13.0,13,8,110,WU (Vienna University of Economics and Business),Austria,Master in International Management,676953310.0,676953310.0,400.0,117.0,6632.0,874.0,295.0,96 (100)1,391.0,538.0,508.0,302.0,536.0,580.0,66.0,121.0,20.0,960.0,"€2,907",240.0,70.0,Yes,1000.0
13,,14.0,12,14,130,University of Mannheim,Germany,Mannheim Master in Management,894254456.0,894254053.0,4910.0,101.0,444.0,901.0,2710.0,96 (86)0,351.0,450.0,200.0,284.0,313.0,200.0,7815.0,325.0,0.0,850.0,€641,320.0,339.0,No,921.0
14,,15.0,14,20,162,Imperial College Business School,UK,MSc in Management,687432289.0,674771201.0,4914.0,841.0,186.0,862.0,166.0,91 (91)2,292.0,503.0,433.0,962.0,861.0,714.0,222.0,786.0,0.0,1000.0,"£27,000",140.0,167.0,No,294.0
15,,16.0,7,9,113,WHU Beisheim,Germany,MSc in Management,1013047286.0,1013044868.0,4711.0,333.0,9819.0,911.0,20.0,90 (98)6,232.0,297.0,120.0,301.0,325.0,120.0,6914.0,413.0,0.0,1000.0,"€24,000",200.0,97.0,Yes,1000.0
16,,17.0,16,15,160,Edhec Business School,France,Edhec Master in Management**,6965223.0,68866158.0,443.0,709.0,639.0,860.0,141.0,97 (93)0,401.0,501.0,411.0,536.0,462.0,862.0,245.0,202.0,20.0,911.0,"€30,600",324.0,999.0,No,1000.0
17,,18.0,32,33,286,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,732457092.0,732457092.0,1021.0,65.0,156.0,851.0,47.0,100 (100)0,332.0,4623.0,130.0,30.0,74.0,320.0,994.0,631.0,10.0,941.0,"Rmb72,250",360.0,28.0,No,1007.0
18,,19.0,21,16,192,Indian Institute of Management Ahmedabad,India,Post Graduate Programme in Management,1200541903.0,1206364160.0,398.0,923.0,369.0,832.0,129.0,100 (98)0,200.0,287.0,0.0,21.0,10.0,0.0,987.0,666.0,0.0,1000.0,"Rs1,533,000",220.0,395.0,No,991.0
19,,20.0,-,42,-,Kozminski University,Poland,Master in Management,75986.0,74576.0,67.0,34.0,20.0,89.0,23.0,94 (93),37.0,49.0,15.0,17.0,48.0,62.0,68.0,40.0,0.0,87.0,"Zloty 52,000",24.0,171.0,No,55.0
20,,21.0,21,36,261,Warwick Business School,UK,MSc in Management,579902980.0,579902980.0,851.0,8513.0,11.0,823.0,3514.0,96 (94)1,341.0,612.0,407.0,781.0,972.0,202.0,656.0,890.0,10.0,1000.0,"£27,250",140.0,160.0,No,0.0
21,,22.0,-,-,-was 78,"University of Economics, Prague",Czech Republic,International Master in Management,6885330497.0,6885330311.0,5218.0,1511.0,8751.0,898.0,974.0,100 (100)5,423.0,524.0,200.0,136.0,6243.0,350.0,1949.0,360.0,21.0,883.0,"Kc138,000",280.0,40.0,Yes,10091.0
22,,23.0,28,23,253,Indian Institute of Management Calcutta,India,Post Graduate Programme in Management,1117801888.0,1119381721.0,425.0,9010.0,3920.0,840.0,93.0,100 (100)0,212.0,3115.0,184.0,10.0,0.0,66.0,916.0,627.0,11.0,1000.0,"Rs1,194,000",220.0,463.0,No,1000.0
23,,23.0,23,39,288,St Petersburg State University Graduate School of Management,Russia,Master in Management,591781196.0,590851150.0,6913.0,161.0,40.0,881.0,2611.0,92 (80)2,531.0,551.0,143.0,40.0,149.0,224.0,278.0,371.0,10.0,944.0,"Rub900,000",240.0,109.0,No,1000.0
24,,25.0,35,26,290,Skema Business School,France / US / China / Brazil,Global MSc in Management**,6224099.0,62333145.0,504.0,683.0,5612.0,871.0,3814.0,91 (82)1,433.0,622.0,336.0,484.0,501.0,589.0,171.0,81.0,20.0,9212.0,"€22,500",240.0,490.0,No,1000.0
25,,26.0,26,19,240,Indian Institute of Management Bangalore,India,Post Graduate Programme in Management,1179491948.0,1181952101.0,400.0,935.0,6232.0,811.0,217.0,100 (99)0,220.0,280.0,426.0,60.0,0.0,81.0,936.0,614.0,0.0,981.0,"Rs1,950,000",210.0,405.0,No,1000.0
26,,27.0,25,44,324,University of Sydney Business School,Australia,Master of Management,65711399.0,65711399.0,5217.0,6111.0,21.0,850.0,537.0,85 (87)2,361.0,572.0,6010.0,396.0,813.0,400.0,133.0,566.0,0.0,893.0,"A$66,750",141.0,145.0,No,1000.0
27,,28.0,41,-,-,Frankfurt School of Finance and Management,Germany,Master in Management,930604837.0,930604837.0,331.0,453.0,5813.0,891.0,37.0,94 (88)3,162.0,472.0,210.0,252.0,3711.0,320.0,951.0,480.0,10.0,980.0,"€32,500",221.0,87.0,No,182.0
28,,28.0,19,30,263,HEC Lausanne,Switzerland,MSc in Management,710383672.0,710383672.0,586.0,2011.0,171.0,822.0,9118.0,74 (42)17,252.0,5410.0,297.0,822.0,686.0,431.0,251.0,7110.0,10.0,1000.0,"SFr2,520",240.0,155.0,Yes,893.0
29,,30.0,17,17,211,Nova School of Business and Economics,Portugal,International Masters in Management,560121626.0,56427360.0,607.0,394.0,121.0,862.0,4713.0,95 (96)3,350.0,6313.0,6738.0,303.0,654.0,10071.0,205.0,2913.0,20.0,1000.0,"€17,100",182.0,150.0,No,715.0
30,,30.0,38,52,4010,Católica Lisbon School of Business and Economics,Portugal,International MSc in Management,534396875.0,532956703.0,557.0,402.0,96.0,862.0,419.0,92 (95)4,360.0,492.0,317.0,430.0,7615.0,4622.0,3522.0,2410.0,20.0,950.0,"€14,070",201.0,76.0,Yes,740.0
31,,32.0,31,17,274,Iéseg School of Management,France,MSc in Management**,578813359.0,572733144.0,422.0,748.0,5712.0,862.0,429.0,94 (47)2,442.0,502.0,100.0,860.0,292.0,700.0,3916.0,155.0,20.0,1000.0,"€20,048",240.0,812.0,Yes,1000.0
32,,33.0,20,21,256,HHL Leipzig Graduate School of Management,Germany,MSc in Management,948264221.0,948264221.0,451.0,412.0,4815.0,883.0,52.0,91 (84)0,128.0,232.0,320.0,161.0,384.0,470.0,801.0,394.0,10.0,964.0,"€25,000",253.0,52.0,Yes,1000.0
33,,33.0,18,38,303,City University: Cass,UK,MSc in Management,642096992.0,642096992.0,7322.0,653.0,65.0,823.0,7016.0,72 (81)1,241.0,574.0,500.0,721.0,950.0,577.0,413.0,752.0,0.0,951.0,"£23,000",130.0,173.0,No,1212.0
34,,35.0,37,31,342,Eada Business School Barcelona,Spain,Master in International Management,626812884.0,626812884.0,6210.0,648.0,3812.0,882.0,2011.0,95 (90)1,286.0,402.0,299.0,561.0,936.0,335.0,237.0,475.0,10.0,789.0,"€22,000",120.0,87.0,No,1000.0
35,,35.0,36,50,406,Tongji University School of Economics and Management,China,MSc in Enterprise Management,6001897.0,6001897.0,890.0,1715.0,50.0,812.0,114.0,100 (100)0,362.0,6414.0,308.0,61.0,352.0,303.0,977.0,331.0,10.0,930.0,"Rmb90,000",300.0,80.0,Yes,1000.0
36,,37.0,33,25,323,Maastricht University School of Business and Economics,Netherlands,MSc in International Business,688823205.0,688083292.0,412.0,91.0,529.0,861.0,726.0,96 (92)0,241.0,401.0,500.0,593.0,660.0,7020.0,301.0,744.0,10.0,990.0,"€13,000",160.0,508.0,No,191.0
37,,38.0,38,36,372,Copenhagen Business School,Denmark,MSc in Economics and Business Administration,707421953.0,703441379.0,471.0,136.0,232.0,871.0,782.0,85 (98)4,312.0,441.0,360.0,423.0,543.0,90.0,340.0,721.0,0.0,948.0,"Kr93,750",273.0,976.0,Yes,65.0
38,,39.0,29,24,314,Audencia Business School,France,MSc in Management-Engineering,689571093.0,689571093.0,514.0,320.0,4710.0,861.0,155.0,93 (99)1,482.0,323.0,210.0,481.0,2112.0,570.0,6027.0,303.0,20.0,861.0,"€21,500",160.0,111.0,No,1000.0
39,,40.0,27,26,313,EMLyon Business School,France,MSc in Management**,656691175.0,652701789.0,372.0,889.0,671.0,851.0,367.0,84 (82)7,340.0,511.0,363.0,503.0,425.0,7910.0,295.0,2513.0,10.0,961.0,"€33,500",300.0,1274.0,No,1000.0
40,,41.0,40,34,382,Neoma Business School,France,Master in Management**,58573255.0,58300206.0,422.0,8020.0,7015.0,830.0,4910.0,93 (90)2,451.0,532.0,507.0,648.0,302.0,625.0,535.0,164.0,20.0,989.0,"€22,440",211.0,1221.0,No,1000.0
41,,41.0,42,31,380,Vlerick Business School,Belgium,Masters in General Management,680143246.0,670414408.0,472.0,295.0,242.0,860.0,72.0,97 (98)1,281.0,402.0,66.0,364.0,192.0,392.0,568.0,422.0,10.0,950.0,"€14,900",100.0,168.0,No,1000.0
42,,43.0,33,13,308,Grenoble Ecole de Management,France / UK / Singapore,Master in International Business,615051215.0,60200824.0,451.0,528.0,433.0,831.0,9211.0,83 (64)10,430.0,464.0,530.0,460.0,881.0,7320.0,91.0,5114.0,10.0,917.0,"€20,350",202.0,271.0,No,899.0
43,,44.0,43,77,554,IQS/FJU/USF,Spain / Taiwan / US,Master in Global Entrepreneurship Management,458505418.0,458505418.0,5917.0,1006.0,284.0,852.0,5718.0,91 (90)9,381.0,487.0,330.0,130.0,5718.0,130.0,265.0,10.0,10.0,952.0,"€38,000",120.0,42.0,No,1000.0
44,,45.0,30,29,354,Antwerp Management School,Belgium,Master of Global Management,61524360.0,61524360.0,446.0,465.0,2717.0,834.0,3214.0,93 (83)7,321.0,380.0,314.0,371.0,648.0,695.0,404.0,430.0,0.0,980.0,"€11,950",100.0,73.0,No,1000.0
45,,46.0,45,51,473,Aalto University,Finland,MSc in Economics and Business Administration,6147062.0,61491128.0,481.0,41.0,767.0,851.0,691.0,87 (86)2,323.0,462.0,5714.0,273.0,139.0,430.0,797.0,363.0,20.0,970.0,"€30,232",240.0,517.0,No,5014.0
46,,46.0,51,53,500,Kedge Business School,France,Master in Management**,566542405.0,568352479.0,392.0,816.0,8930.0,822.0,541.0,93 (88)0,313.0,500.0,505.0,523.0,381.0,465.0,434.0,190.0,20.0,960.0,"€25,000",300.0,1048.0,No,1000.0
47,,48.0,48,40,454,Toulouse Business School,France/Spain,Master in Management**,5851250.0,5872089.0,382.0,8213.0,788.0,821.0,711.0,92 (76)2,466.0,512.0,455.0,474.0,3310.0,1812.0,506.0,215.0,20.0,933.0,"€23,100",200.0,710.0,No,1000.0
48,,49.0,58,55,541,University of British Columbia: Sauder,Canada,Master of Management,557024143.0,557024143.0,6817.0,424.0,941.0,863.0,347.0,71 (95)19,252.0,571.0,265.0,761.0,474.0,321.0,320.0,804.0,0.0,991.0,"C$42,006",83.0,91.0,No,0.0
49,,50.0,56,61,565,Tias Business School,Netherlands,International MSc in Business Administration,562661795.0,562661795.0,454.0,430.0,494.0,860.0,3020.0,96 (91)5,285.0,539.0,300.0,474.0,5811.0,200.0,4211.0,593.0,0.0,882.0,"€19,900",140.0,93.0,No,1716.0
50,,51.0,50,46,491,IAE Aix-Marseille Graduate School of Management,France,MSc in Management,550441864.0,550881624.0,430.0,193.0,7736.0,841.0,434.0,96 (78)2,447.0,571.0,4327.0,235.0,4713.0,236.0,463.0,5812.0,10.0,920.0,"€4,800",160.0,512.0,No,1000.0
51,,52.0,53,46,503,Montpellier Business School,France,Master in Management**,50662547.0,50827682.0,361.0,873.0,9312.0,801.0,638.0,98 (93)0,443.0,503.0,470.0,6310.0,332.0,330.0,457.0,231.0,20.0,962.0,"€21,800",300.0,501.0,No,1000.0
52,,53.0,-,-,-,Hult International Business School,US / UK / China / UAE,Master of International Business,63272.0,63746.0,39.0,97.0,31.0,86.0,82.0,90 (88),38.0,42.0,23.0,55.0,95.0,69.0,7.0,70.0,0.0,62.0,"$31,200",12.0,980.0,No,3.0
53,,53.0,46,59,53,Queen's University: Smith,Canada,Master of International Business,616831586.0,616831586.0,390.0,499.0,6130.0,820.0,753.0,75 (79)2,274.0,504.0,281.0,436.0,820.0,413.0,211.0,451.0,0.0,8811.0,"C$74,820",120.0,98.0,Yes,94.0
54,,55.0,49,-,-,Cranfield School of Management,UK,Masters in Management,554081233.0,554081233.0,533.0,788.0,3327.0,822.0,2227.0,100 (65)10,332.0,440.0,267.0,4519.0,6420.0,321.0,2811.0,978.0,0.0,923.0,"£22,000",120.0,66.0,No,6623.0
55,,55.0,55,35,48,Rennes School of Business,France,Master in Management**,556961332.0,563321643.0,371.0,710.0,460.0,822.0,9616.0,94 (67)2,363.0,523.0,5010.0,911.0,248.0,382.0,443.0,220.0,0.0,914.0,"€23,100",280.0,528.0,No,1000.0
56,,55.0,60,41,524,Louvain School of Management,Belgium,Master in Business Engineering,630846096.0,635916270.0,4418.0,120.0,6810.0,852.0,847.0,91 (77)2,380.0,332.0,330.0,231.0,83.0,500.0,573.0,345.0,20.0,1000.0,"€8,350",230.0,207.0,Yes,1000.0
57,,58.0,54,43,523,ICN Business School,France,Master in Management**,548961949.0,544931830.0,417.0,752.0,6026.0,802.0,8933.0,93 (78)5,505.0,553.0,4321.0,533.0,342.0,2311.0,6419.0,102.0,20.0,902.0,"€21,200",304.0,499.0,No,1000.0
58,,59.0,68,73,675,Warsaw School of Economics,Poland,Master in Management,492911201.0,492911201.0,978.0,811.0,1118.0,841.0,948.0,100 (63)7,431.0,620.0,452.0,21.0,182.0,1010.0,8212.0,761.0,10.0,962.0,Zloty 0,230.0,122.0,No,1916.0
59,,60.0,59,46,559,Institut Mines-Télécom Business School,France,Integrated Master in Management**,583662770.0,582142060.0,302.0,307.0,953.0,850.0,7920.0,86 (85)2,546.0,473.0,5533.0,492.0,211.0,4517.0,488.0,271.0,10.0,8914.0,"€13,250",301.0,325.0,No,1000.0
60,,61.0,73,72,694,Lancaster University Management School,UK,MSc in Management,465782430.0,465782430.0,609.0,4719.0,7115.0,861.0,1810.0,89 (91)10,332.0,486.0,384.0,595.0,7411.0,3111.0,752.0,834.0,0.0,950.0,"£17,500",120.0,50.0,No,496.0
61,,62.0,62,49,584,Essca School of Management,France,Essca Master in Management**,556941778.0,558392382.0,361.0,5512.0,8410.0,841.0,6025.0,90 (86)0,391.0,511.0,4515.0,574.0,120.0,8222.0,7310.0,443.0,20.0,986.0,"€18,500",220.0,729.0,No,1000.0
62,,63.0,57,61,601,Nyenrode Business Universiteit,Netherlands,MSc in Management,669061564.0,669061564.0,533.0,595.0,5931.0,864.0,466.0,77 (95)8,253.0,447.0,294.0,150.0,258.0,12.0,5915.0,697.0,0.0,950.0,"€20,500",140.0,123.0,No,415.0
63,,63.0,66,66,651,"University of Cologne, Faculty of Management, Economics and Social Sciences",Germany,MSc in Business Administration,808585122.0,808584178.0,383.0,214.0,5013.0,841.0,853.0,78 (16)1,221.0,513.0,600.0,91.0,110.0,100.0,873.0,4924.0,0.0,1000.0,"€1,065",240.0,325.0,No,137.0
64,,65.0,52,54,571,University of Edinburgh Business School,UK,MSc in Management,594906746.0,594906746.0,555.0,5325.0,4225.0,805.0,643.0,81 (48)3,410.0,715.0,401.0,631.0,977.0,401.0,522.0,884.0,0.0,951.0,"£21,000",120.0,70.0,No,4.0
65,,65.0,71,69,681,Hanken School of Economics,Finland,MSc in Economics and Business Administration,572294996.0,554423670.0,4310.0,32.0,742.0,842.0,811.0,96 (87)1,350.0,504.0,5010.0,162.0,88.0,100.0,726.0,542.0,0.0,931.0,"€25,000",271.0,367.0,No,512.0
66,,67.0,47,56,574,Durham University Business School,UK,MSc in Management,54870564.0,553901084.0,5818.0,608.0,644.0,824.0,401.0,96 (49)0,343.0,652.0,211.0,652.0,904.0,574.0,620.0,857.0,0.0,970.0,"£19,000",120.0,336.0,No,11.0
67,,68.0,43,45,5210,Solvay Brussels School of Economics and Management,Belgium,Master in Business Engineering,563442093.0,563712120.0,483.0,51.0,7210.0,833.0,4411.0,70 (86)23,283.0,382.0,439.0,2711.0,101.0,3517.0,7730.0,310.0,11.0,962.0,"€9,742",283.0,164.0,Yes,2872.0
