2018;2017;2016;3-year average;School name;Country;Programme name;Salary today (US$);Weighted salary (US$);Salary percentage increase;Value for money rank;Career progress rank;Aims achieved (%);Careers service rank;Employed at three months (%);Female faculty (%);Female students (%);Women on board (%);International faculty (%);International students (%);International board (%);International mobility rank;International course experience rank;Languages;Faculty with doctorates (%);Maximum course fee (local currency);Course length (months);Number enrolled 2017/18;Relevant degree;Company internships (%)
37;33;25;32;Maastricht University School of Business and Economics;Netherlands;MSc in International Business;68882;68808;41;9;52;86;72;96 (92);24;40;50;59;66;70;30;74;1;99;ó13,000;16;508;No;19
38;38;36;37;Copenhagen Business School;Denmark;MSc in Economics and Business Administration;70742;70344;47;13;23;87;78;85 (98);31;44;36;42;54;9;34;72;0;94;Kr93,750;27;976;Yes;6
39;29;24;31;Audencia Business School;France;MSc in Management-Engineering;68957;68957;51;32;47;86;15;93 (99);48;32;21;48;21;57;60;30;2;86;ó21,500;16;111;No;100
40;27;26;31;EMLyon Business School;France;MSc in Management**;65669;65270;37;88;67;85;36;84 (82);34;51;36;50;42;79;29;25;1;96;ó33,500;30;1274;No;100
41;40;34;38;Neoma Business School;France;Master in Management**;58573;58300;42;80;70;83;49;93 (90);45;53;50;64;30;62;53;16;2;98;ó22,440;21;1221;No;100
41;42;31;38;Vlerick Business School;Belgium;Masters in General Management;68014;67041;47;29;24;86;7;97 (98);28;40;6;36;19;39;56;42;1;95;ó14,900;10;168;No;100
43;33;13;30;Grenoble Ecole de Management;France / UK / Singapore;Master in International Business;61505;60200;45;52;43;83;92;83 (64);43;46;53;46;88;73;9;51;1;91;ó20,350;20;271;No;89
44;43;77;55;IQS/FJU/USF;Spain / Taiwan / US;Master in Global Entrepreneurship Management;45850;45850;59;100;28;85;57;91 (90);38;48;33;13;57;13;26;1;1;95;ó38,000;12;42;No;100
45;30;29;35;Antwerp Management School;Belgium;Master of Global Management;61524;61524;44;46;27;83;32;93 (83);32;38;31;37;64;69;40;43;0;98;ó11,950;10;73;No;100
46;45;51;47;Aalto University;Finland;MSc in Economics and Business Administration;61470;61491;48;4;76;85;69;87 (86);32;46;57;27;13;43;79;36;2;97;ó30,232;24;517;No;50
