, ,2017,2016,2015,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2016/17,Relevant degree,Internships[15]
21,,21.0,36,23,27,Warwick Business School,UK,MSc in Management,609707352.0,609707352.0,84.0,720.0,2.0,853.0,21.0,97 (95)0,35.0,63.0,3311.0,791.0,951.0,220.0,7124.0,894.0,10.0,1000.0,26500,140.0,131.0,No,0.0
22,,23.0,28,44,32,Stockholm School of Economics,Sweden,MSc in International Business,658545173.0,658545173.0,47.0,212.0,88.0,902.0,36.0,100 (98)9,27.0,43.0,3510.0,350.0,7922.0,2626.0,4915.0,30.0,20.0,990.0,"SKr300,000",221.0,42.0,No,1000.0
23,,23.0,39,46,36,St Petersburg State University Graduate School of Management,Russia,Master in Management,579824360.0,579354405.0,82.0,154.0,4.0,891.0,37.0,90 (85)4,54.0,54.0,110.0,41.0,233.0,262.0,356.0,362.0,10.0,901.0,"Rub880,000",242.0,109.0,No,1000.0
24,,25.0,44,39,36,University of Sydney Business School,Australia,Master of Management,653122526.0,653122526.0,69.0,500.0,1.0,850.0,60.0,83 (87)2,37.0,55.0,500.0,334.0,786.0,400.0,162.0,503.0,1.0,861.0,"A$63,000",150.0,167.0,No,1000.0
25,,26.0,19,26,24,Indian Institute of Management Bangalore,India,Post Graduate Programme in Management,11600110136.0,11609410047.0,40.0,883.0,30.0,821.0,14.0,100 (100)0,22.0,28.0,3611.0,62.0,0.0,71.0,870.0,571.0,0.0,991.0,"Rs1,870,000",210.0,407.0,No,1000.0
26,,27.0,26,30,28,EMLyon Business School,France,MSc in Management,668446562.0,670597015.0,39.0,794.0,66.0,860.0,29.0,91 (86)2,34.0,50.0,3322.0,471.0,473.0,890.0,241.0,123.0,10.0,952.0,35000,300.0,1073.0,No,1000.0
27,,28.0,23,16,22,Indian Institute of Management Calcutta,India,Post Graduate Programme in Management,11366814989.0,11365914835.0,47.0,8012.0,19.0,841.0,6.0,100 (100)0,23.0,16.0,147.0,10.0,0.0,0.0,855.0,691.0,0.0,1001.0,"Rs1,900,000",220.0,463.0,No,1000.0
28,,29.0,24,28,27,Audencia Business School,France,MSc in Management-Engineering,700507900.0,700507900.0,55.0,323.0,57.0,871.0,20.0,94 (100)1,46.0,29.0,210.0,477.0,91.0,570.0,332.0,333.0,20.0,876.0,17950,160.0,105.0,No,1000.0
29,,30.0,29,34,31,Antwerp Management School,Belgium,Master of Global Management,611645468.0,611645468.0,50.0,410.0,10.0,874.0,46.0,100 (95)12,33.0,38.0,273.0,385.0,7216.0,646.0,368.0,4332.0,0.0,986.0,10950,100.0,80.0,No,1000.0
30,,31.0,17,21,23,Iéseg School of Management,France,MSc in Management,545224401.0,541294353.0,44.0,823.0,45.0,841.0,51.0,96 (52)2,46.0,52.0,100.0,861.0,272.0,700.0,233.0,108.0,20.0,1000.0,18751,240.0,788.0,Yes,1000.0
31,,32.0,33,36,34,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,66153534.0,66153534.0,101.0,10.0,21.0,862.0,11.0,100 (100)0,31.0,69.0,133.0,30.0,326.0,323.0,956.0,6410.0,10.0,931.0,"Rmb72,250",366.0,29.0,No,937.0
32,,33.0,13,20,22,Grenoble Ecole de Management,France / UK / Singapore,Master in International Business,602901356.0,593761464.0,44.0,441.0,40.0,841.0,81.0,93 (70)2,43.0,50.0,536.0,461.0,894.0,536.0,82.0,3724.0,10.0,841.0,20200,222.0,232.0,No,8011.0
33,,33.0,25,28,29,Maastricht University School of Business and Economics,Netherlands,MSc in International Business,656774700.0,655164538.0,39.0,103.0,43.0,870.0,66.0,96 (99)2,23.0,41.0,5014.0,566.0,664.0,901.0,296.0,7025.0,10.0,990.0,13000,160.0,517.0,No,186.0
34,,35.0,26,25,29,Skema Business School,France / US / China / Brazil,Global MSc in Management,623398027.0,621887906.0,46.0,651.0,44.0,862.0,52.0,90 (80)0,40.0,60.0,390.0,444.0,490.0,670.0,181.0,73.0,20.0,801.0,22500,240.0,495.0,No,1000.0
35,,36.0,50,52,46,Tongji University School of Economics and Management,China,MSc in Enterprise Management,599217478.0,599217478.0,89.0,24.0,5.0,830.0,15.0,100 (100)0,38.0,78.0,228.0,52.0,373.0,333.0,905.0,3216.0,10.0,934.0,"Rmb90,000",300.0,86.0,Yes,1000.0
36,,37.0,31,27,32,Eada Business School Barcelona,Spain,Master in International Management,655656761.0,655656761.0,52.0,567.0,50.0,901.0,31.0,94 (91)4,34.0,42.0,381.0,550.0,870.0,385.0,309.0,4216.0,10.0,692.0,21400,120.0,71.0,No,1000.0
37,,38.0,36,32,35,Copenhagen Business School,Denmark,MSc in Economics and Business Administration,687893869.0,689653876.0,46.0,70.0,25.0,880.0,76.0,81 (82)1,33.0,43.0,369.0,391.0,517.0,90.0,345.0,7115.0,0.0,864.0,"Kr93,000",303.0,959.0,Yes,18.0
38,,38.0,52,59,50,Católica Lisbon School of Business and Economics,Portugal,International MSc in Management,465641603.0,465921603.0,62.0,385.0,3.0,840.0,32.0,96 (96)1,36.0,47.0,240.0,433.0,615.0,240.0,5712.0,347.0,20.0,950.0,13560,190.0,72.0,Yes,7413.0
