, ,2015,2014,2013,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2014/15,Relevant degree,Internships[19]
0,,1.0,1,1,10,University of St Gallen,Switzerland,Master of Arts in Strategy and International Management,8960010028.0,8960010028.0,43.0,237.0,95.0,31.0,100 (92)0,110.0,406.0,31.0,770.0,893.0,5017.0,76.0,13.0,10.0,1000.0,"SFr9,978",252.0,47.0,Yes,1000.0
1,,2.0,2,4,30,HEC Paris,France,HEC MSc in Management,863545072.0,833094484.0,346.0,121.0,93.0,50.0,97 (68)0,220.0,414.0,13.0,650.0,442.0,650.0,60.0,64.0,20.0,1000.0,36000,180.0,489.0,No,1000.0
2,,3.0,3,8,50,Essec Business School,France,MSc in Management,821504364.0,817124261.0,444.0,44.0,92.0,112.0,94 (80)3,291.0,494.0,10.0,510.0,332.0,502.0,93.0,95.0,11.0,980.0,38000,210.0,702.0,No,1000.0
3,,4.0,5,7,50,Cems,See table note,Masters in International Management,684865214.0,687745306.0,108.0,3410.0,90.0,287.0,95 (65)2,330.0,471.0,33.0,980.0,940.0,950.0,50.0,43.0,20.0,922.0,11086,120.0,1182.0,No,1000.0
4,,5.0,8,5,61,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,8011412418.0,8011412418.0,165.0,2230.0,91.0,203.0,87 (98)1,255.0,3513.0,32.0,475.0,703.0,344.0,11.0,51.0,20.0,1000.0,16400,180.0,60.0,Yes,817.0
5,,6.0,10,-,-,London Business School,UK,Masters in Management,788145059.0,770066592.0,3710.0,644.0,94.0,94.0,97 (96)1,273.0,400.0,33.0,860.0,961.0,678.0,35.0,416.0,10.0,1000.0,"£27,500",120.0,176.0,No,7575.0
6,,7.0,7,2,51,ESCP Europe,"France, UK, Germany, Spain, Italy",ESCP Europe Master in Management,694723868.0,693593955.0,535.0,261.0,91.0,121.0,88 (63)5,351.0,482.0,35.0,714.0,765.0,520.0,130.0,107.0,20.0,950.0,35800,180.0,804.0,No,1000.0
7,,8.0,4,3,5,WHU – Otto Beisheim School of Management,Germany,MSc in Management,981234175.0,981234175.0,149.0,2011.0,94.0,10.0,95 (93)5,154.0,2712.0,14.0,254.0,210.0,260.0,466.0,341.0,0.0,1000.0,22800,201.0,94.0,Yes,1000.0
8,,9.0,12,17,134,Università Bocconi,Italy,MSc in International Management,701936207.0,701936207.0,424.0,192.0,91.0,87.0,93 (49)1,360.0,487.0,15.0,303.0,229.0,5510.0,40.0,225.0,11.0,901.0,24922,280.0,128.0,No,1000.0
9,,10.0,9,5,81,IE Business School,Spain,Master in Management,706443525.0,725691694.0,504.0,75.0,89.0,3618.0,95 (88)0,372.0,380.0,46.0,583.0,650.0,842.0,159.0,454.0,10.0,971.0,32200,100.0,483.0,No,341.0
