, ,2015,2014,2013,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2014/15,Relevant degree,Internships[19]
10,,11.0,14,-,-,EBS Business School,Germany,Master in Management,850663332.0,850663332.0,338.0,915.0,95.0,104.0,85 (86)1,215.0,391.0,50.0,242.0,4214.0,0.0,4310.0,300.0,0.0,1000.0,23850,200.0,96.0,No,1000.0
11,,12.0,6,10,91,Esade Business School,Spain,MSc in International Management,65029618.0,65029618.0,389.0,1610.0,90.0,171.0,94 (95)3,292.0,345.0,20.0,314.0,797.0,875.0,21.0,246.0,10.0,953.0,25800,131.0,146.0,No,465.0
12,,13.0,22,22,193,WU (Vienna University of Economics and Business),Austria,Master in International Management,647937857.0,646997860.0,214.0,4310.0,89.0,662.0,95 (100)2,372.0,6110.0,33.0,232.0,484.0,720.0,146.0,23.0,20.0,961.0,2907,240.0,75.0,Yes,1000.0
13,,14.0,18,16,160,Mannheim Business School,Germany,Mannheim Master in Management,820945227.0,821094021.0,70.0,428.0,92.0,252.0,96 (80)2,360.0,450.0,20.0,223.0,233.0,200.0,669.0,2114.0,0.0,872.0,540,322.0,265.0,No,9610.0
14,,15.0,16,18,161,Indian Institute of Management Ahmedabad,India,Post Graduate Programme in Management,990494571.0,995444823.0,6510.0,30.0,86.0,21.0,100 (97)0,181.0,297.0,10.0,30.0,0.0,20.0,7211.0,561.0,0.0,1001.0,"Rs1,375,000",220.0,394.0,No,1000.0
15,,16.0,13,19,16,Indian Institute of Management Calcutta,India,Post Graduate Programme in Management,931229725.0,929649879.0,454.0,10.0,87.0,42.0,100 (98)0,202.0,251.0,13.0,10.0,1.0,0.0,591.0,593.0,0.0,990.0,"Rs1,650,000",220.0,462.0,No,1000.0
16,,17.0,11,9,122,HHL Leipzig Graduate School of Management,Germany,MSc in Management,907765538.0,907765538.0,326.0,6015.0,94.0,61.0,90 (89)0,1010.0,234.0,9.0,196.0,187.0,227.0,6311.0,139.0,20.0,1000.0,25000,240.0,87.0,Yes,10038.0
17,,18.0,16,14,162,Edhec Business School,France,Edhec Master in Management,57183195.0,57119468.0,617.0,3214.0,88.0,190.0,96 (87)1,353.0,484.0,27.0,381.0,372.0,8013.0,268.0,185.0,21.0,892.0,32000,244.0,998.0,No,1000.0
18,,19.0,19,12,172,Imperial College Business School,UK,MSc in Management,583102837.0,568642833.0,7310.0,4125.0,90.0,2919.0,90 (96)6,283.0,532.0,45.0,923.0,862.0,6414.0,121.0,7812.0,0.0,1000.0,"£24,000",131.0,230.0,No,1010.0
19,,20.0,15,13,162,Grenoble Ecole de Management,France,Master in International Business,592103476.0,584992451.0,523.0,174.0,85.0,7213.0,93 (73)5,412.0,517.0,56.0,451.0,902.0,563.0,81.0,3924.0,10.0,822.0,23553,240.0,261.0,No,853.0
20,,21.0,26,27,251,HEC Lausanne,Switzerland,MSc in Management,634648746.0,634648746.0,82.0,1021.0,84.0,681.0,94 (83)3,281.0,464.0,20.0,791.0,568.0,505.0,354.0,5810.0,11.0,1000.0,"SFr2,520",240.0,153.0,Yes,873.0
21,,21.0,21,24,22,Iéseg School of Management,France,Msc in Management,49644148.0,49137498.0,7710.0,155.0,85.0,474.0,86 (92)0,444.0,470.0,10.0,843.0,2410.0,700.0,172.0,146.0,20.0,991.0,17782,240.0,747.0,Yes,1000.0
22,,23.0,31,-,-,Warwick Business School,UK,Warwick Masters in Management,555563407.0,555563407.0,7610.0,1426.0,87.0,184.0,96 (90)1,342.0,529.0,20.0,782.0,902.0,208.0,399.0,8012.0,10.0,1000.0,"£26,000",140.0,73.0,No,0.0
23,,24.0,24,14,213,City University: Cass,UK,MSc in Management,595966157.0,596655931.0,483.0,526.0,89.0,5019.0,64 (92)14,291.0,523.0,45.0,691.0,912.0,552.0,166.0,6014.0,0.0,960.0,"£18,000",120.0,151.0,No,0.0
24,,25.0,28,29,271,Skema Business School,"France, US, China, Brazil",Global Master in Management,520402810.0,519372966.0,6811.0,2815.0,85.0,483.0,88 (70)4,462.0,572.0,39.0,391.0,429.0,6712.0,181.0,86.0,10.0,782.0,22420,240.0,482.0,No,1000.0
25,,26.0,-,-,-,Indian Institute of Management Bangalore,India,Post Graduate Programme in Management,92565.0,93025.0,58.0,2.0,85.0,15.0,100 (100),20.0,23.0,25.0,7.0,0.0,12.0,78.0,55.0,0.0,99.0,"Rs2,500,000",21.0,406.0,No,100.0
26,,27.0,29,20,251,Eada Business School Barcelona,Spain,Master in International Management,600865796.0,600865796.0,473.0,81.0,91.0,391.0,90 (82)2,375.0,396.0,43.0,502.0,862.0,485.0,274.0,3814.0,10.0,635.0,21200,120.0,84.0,No,1000.0
27,,28.0,27,-,-,Audencia Business School,France,MSc in Management-Engineering,577762602.0,577762602.0,363.0,62.0,88.0,3515.0,99 (100)5,410.0,234.0,20.0,400.0,151.0,5311.0,3424.0,252.0,20.0,810.0,16950,161.0,104.0,No,1000.0
28,,28.0,37,41,352,Maastricht University School of Business and Economics,Netherlands,MSc in International Business,602963721.0,604993628.0,122.0,531.0,87.0,697.0,97 (89)1,236.0,425.0,21.0,501.0,650.0,640.0,234.0,402.0,10.0,970.0,13500,163.0,541.0,No,86.0
29,,30.0,20,11,207,EMLyon Business School,France,MSc in Management,579623107.0,578583087.0,7110.0,312.0,87.0,339.0,83 (54)12,352.0,6810.0,11.0,464.0,4614.0,896.0,211.0,1514.0,20.0,950.0,32000,240.0,801.0,No,1000.0
30,,31.0,48,54,447,Nova School of Business and Economics,Portugal,International Masters in Management,467365334.0,469034341.0,401.0,734.0,87.0,221.0,87 (98)2,404.0,517.0,33.0,290.0,7744.0,330.0,283.0,1214.0,20.0,1000.0,15967,200.0,124.0,No,6411.0
31,,32.0,37,40,364,Copenhagen Business School,Denmark,MSc in General Management,614744880.0,616245154.0,33.0,458.0,89.0,766.0,81 (97)1,342.0,460.0,36.0,413.0,628.0,90.0,2210.0,522.0,0.0,902.0,"Kr12,500",324.0,550.0,Yes,90.0
32,,33.0,25,34,312,Institut Mines-Télécom Business School,France,Master in Management,523892154.0,526832050.0,241.0,4834.0,86.0,261.0,88 (68)2,500.0,482.0,36.0,533.0,310.0,450.0,3711.0,331.0,10.0,760.0,12400,310.0,397.0,No,1000.0
33,,34.0,34,42,373,Antwerp Management School,Belgium,Master of Global Management,501205044.0,501205044.0,3011.0,2410.0,85.0,4111.0,86 (93)4,292.0,436.0,36.0,4214.0,649.0,7317.0,5712.0,713.0,1.0,861.0,27500,100.0,67.0,No,1000.0
34,,34.0,40,39,38,Neoma Business School,France,Master in Management,516942287.0,515342372.0,597.0,182.0,85.0,312.0,91 (77)3,444.0,540.0,38.0,518.0,335.0,3838.0,525.0,192.0,20.0,8611.0,20400,236.0,1369.0,No,1000.0
35,,36.0,44,47,423,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,645471750.0,645471750.0,22.0,3817.0,88.0,71.0,100 (100)0,301.0,5113.0,16.0,30.0,5530.0,421.0,799.0,647.0,10.0,911.0,"Rmb50,000",300.0,69.0,No,814.0
36,,36.0,30,26,316,Toulouse Business School,France,Master in Management,517442324.0,517022321.0,7011.0,254.0,84.0,548.0,91 (63)1,422.0,512.0,40.0,432.0,330.0,300.0,389.0,167.0,20.0,920.0,18200,200.0,692.0,No,1000.0
37,,38.0,39,31,364,Solvay Brussels School of Economics and Management,Belgium,Master in Business Engineering,553522465.0,554282662.0,510.0,3620.0,88.0,214.0,95 (79)2,214.0,331.0,55.0,413.0,101.0,4510.0,4912.0,272.0,20.0,980.0,9360,252.0,187.0,Yes,1000.0
38,,39.0,47,49,45,University of Sydney Business School,Australia,Master of Management,562662814.0,562662814.0,464.0,478.0,86.0,5125.0,78 (81)21,382.0,5013.0,12.0,311.0,7225.0,0.0,112.0,4721.0,0.0,851.0,"A$60,000",152.0,145.0,No,1000.0
39,,40.0,36,29,353,Vlerick Business School,Belgium,Masters in General Management,609993161.0,600002232.0,156.0,3011.0,86.0,131.0,97 (97)3,290.0,4313.0,17.0,240.0,152.0,920.0,604.0,5010.0,10.0,900.0,14000,100.0,134.0,No,1000.0
40,,41.0,32,36,363,Montpellier Business School,France,Master in Management,461342065.0,461501855.0,7410.0,397.0,83.0,4511.0,99 (91)4,482.0,510.0,53.0,431.0,449.0,330.0,475.0,172.0,20.0,895.0,20000,300.0,439.0,No,1000.0
41,,42.0,35,25,345,Kozminski University,Poland,Master in Management,6669010317.0,6669010069.0,2210.0,4411.0,85.0,235.0,94 (88)4,331.0,490.0,15.0,220.0,144.0,695.0,7610.0,351.0,10.0,880.0,"Zloty20,800",240.0,76.0,No,424.0
42,,43.0,40,28,375,Louvain School of Management,Belgium,Master in Business Engineering,531734288.0,535864257.0,183.0,3722.0,85.0,5619.0,97 (71)4,352.0,355.0,31.0,230.0,102.0,5427.0,445.0,232.0,20.0,1000.0,7690,231.0,229.0,Yes,1000.0
43,,44.0,33,23,338,Stockholm School of Economics,Sweden,MSc in International Business,58231173.0,58231179.0,96.0,6827.0,88.0,348.0,93 (90)29,252.0,422.0,14.0,310.0,526.0,0.0,456.0,437.0,20.0,964.0,"SKr300,000",210.0,40.0,Yes,26.0
44,,45.0,42,38,42,Kedge Business School,France,Master in Management,47330708.0,47344636.0,6911.0,292.0,81.0,5511.0,86 (86)3,241.0,500.0,36.0,444.0,361.0,3939.0,302.0,204.0,20.0,910.0,22400,300.0,1398.0,No,1000.0
45,,46.0,56,65,56,St Petersburg State University Graduate School of Management,Russia,Master in Management,5009010065.0,5009010065.0,269.0,332.0,89.0,5810.0,87 (78)1,531.0,628.0,11.0,53.0,117.0,280.0,2915.0,321.0,10.0,920.0,"Rub770,000",221.0,90.0,No,1000.0
46,,47.0,-,44,-,Sun Yat-sen Business School,China,Master in Management,55288.0,55288.0,1.0,35.0,88.0,14.0,99 (100),30.0,44.0,14.0,9.0,11.0,71.0,80.0,63.0,1.0,95.0,"Rmb16,000",26.0,75.0,No,87.0
47,,48.0,64,-,-,La Rochelle Business School,France,Master in Management,438253762.0,432003430.0,7510.0,2141.0,84.0,604.0,82 (83)1,498.0,511.0,12.0,4312.0,142.0,330.0,533.0,39.0,20.0,743.0,19000,294.0,293.0,No,1000.0
48,,49.0,43,33,425,University of Strathclyde Business School,UK,Strathclyde MBM,498758085.0,498758085.0,8010.0,57.0,85.0,6322.0,90 (79)1,352.0,3811.0,35.0,4513.0,9511.0,470.0,3216.0,612.0,0.0,824.0,"£15,000",120.0,60.0,No,0.0
49,,50.0,51,60,541,ICN Business School,France,Master in Management,486124084.0,481714130.0,7210.0,5816.0,86.0,423.0,90 (61)5,476.0,510.0,15.0,473.0,203.0,150.0,313.0,314.0,20.0,835.0,18600,331.0,483.0,No,1000.0
50,,51.0,-,-,-,Essca School of Management,France,Essca Master in Management,49013.0,48741.0,57.0,50.0,87.0,32.0,90 (86),33.0,52.0,33.0,48.0,39.0,56.0,70.0,26.0,2.0,88.0,9190,22.0,452.0,No,100.0
51,,52.0,65,-,-,Tongji University School of Economics and Management,China,Master in Management,4981914272.0,4981914272.0,1321.0,1115.0,85.0,1645.0,99 (100)0,362.0,611.0,33.0,40.0,172.0,4216.0,756.0,483.0,10.0,892.0,"Rmb90,000",300.0,183.0,Yes,1000.0
52,,52.0,49,-,-,University of British Columbia: Sauder,Canada,Master of Management,47927285.0,47927285.0,399.0,678.0,85.0,279.0,73 (96)11,253.0,4910.0,29.0,801.0,5310.0,201.0,249.0,688.0,0.0,991.0,"C$39,595",110.0,49.0,No,0.0
53,,54.0,46,43,485,Aalto University,Finland,MSc in Economics and Business Administration,552933433.0,549793450.0,610.0,7211.0,87.0,5710.0,98 (93)2,341.0,433.0,43.0,213.0,205.0,430.0,739.0,370.0,20.0,951.0,114,240.0,490.0,No,166.0
54,,55.0,54,54,545,IAE Aix-Marseille Graduate School of Management,France,MSc in Management,47566338.0,47788226.0,193.0,1315.0,82.0,498.0,87 (82)28,400.0,574.0,31.0,172.0,203.0,720.0,485.0,423.0,10.0,880.0,4255,243.0,471.0,No,1000.0
55,,56.0,45,56,521,University College Dublin: Smurfit,Ireland,MSc in Business,5595866.0,5597567.0,2512.0,7714.0,86.0,6213.0,58 (59)1,365.0,442.0,17.0,503.0,615.0,6120.0,192.0,725.0,0.0,1000.0,17400,120.0,93.0,Yes,0.0
56,,57.0,57,50,551,Durham University Business School,UK,MSc in Management,524015247.0,520655248.0,415.0,691.0,87.0,380.0,92 (71)8,342.0,683.0,39.0,662.0,881.0,391.0,513.0,7310.0,0.0,974.0,"£18,000",142.0,327.0,No,0.0
57,,58.0,-,-,-,IQS/FJU/USF,"Spain, Taiwan, US",Master in Global Entrepreneurial Management,60600.0,60600.0,62.0,80.0,91.0,65.0,n/a,30.0,49.0,70.0,58.0,84.0,70.0,10.0,36.0,0.0,88.0,26000,12.0,37.0,No,100.0
58,,59.0,49,52,532,Católica Lisbon School of Business and Economics,Portugal,International MSc in Management,402561194.0,403121250.0,430.0,651.0,83.0,2412.0,98 (99)1,330.0,5610.0,29.0,382.0,364.0,240.0,627.0,291.0,20.0,980.0,13120,182.0,144.0,Yes,539.0
59,,60.0,66,64,630,Nyenrode Business Universiteit,Netherlands,MSc in Management,568942066.0,568942033.0,492.0,492.0,88.0,374.0,70 (78)4,266.0,446.0,11.0,187.0,133.0,3322.0,642.0,512.0,0.0,9534.0,17250,120.0,94.0,No,3466.0
60,,61.0,59,45,550,University of Bradford School of Management,UK,MSc in Management,455554770.0,455554770.0,544.0,558.0,87.0,4612.0,89 (40)3,421.0,369.0,27.0,312.0,964.0,459.0,2510.0,713.0,0.0,853.0,"£13,500",120.0,105.0,No,0.0
61,,62.0,-,63,-,University of Edinburgh Business School,UK,Msc in Management,42944.0,42944.0,64.0,61.0,89.0,53.0,84 (63),34.0,66.0,35.0,58.0,90.0,47.0,41.0,66.0,0.0,94.0,"£21,350",12.0,59.0,No,2.0
62,,63.0,61,58,612,Leeds University Business School,UK,MSc in International Business,399252740.0,399252740.0,7910.0,5113.0,90.0,3020.0,87 (70)3,391.0,571.0,40.0,485.0,914.0,503.0,6110.0,7611.0,0.0,886.0,"£19,000",140.0,149.0,No,84.0
63,,64.0,60,61,626,NHH Norwegian School of Economics,Norway,MSc in Economics and Business Administration,578805375.0,577015309.0,113.0,714.0,87.0,648.0,79 (42)4,262.0,391.0,36.0,271.0,110.0,90.0,685.0,468.0,10.0,963.0,"NKr3,120",252.0,639.0,Yes,100.0
64,,65.0,52,53,574,"Tias Business School, Tilburg University",Netherlands,International MSc in Business Administration,498201902.0,498201902.0,565.0,7616.0,86.0,7116.0,92 (87)5,262.0,5913.0,20.0,402.0,562.0,0.0,421.0,544.0,0.0,923.0,19900,140.0,71.0,No,1111.0
65,,66.0,53,59,596,"University of Cologne, Faculty of Management, Economics and Social Sciences",Germany,MSc in Business Administration,669431687.0,670371574.0,284.0,274.0,86.0,7825.0,60 (22)2,201.0,406.0,50.0,60.0,81.0,100.0,672.0,6718.0,10.0,883.0,982,251.0,278.0,No,219.0
66,,67.0,-,-,-,Hanken School of Economics,Finland,MSc in Economics and Business Administration,48840.0,48232.0,20.0,79.0,85.0,77.0,98 (89),40.0,55.0,50.0,22.0,11.0,0.0,56.0,53.0,0.0,94.0,240,26.0,337.0,No,56.0
67,,68.0,70,68,691,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,408021162.0,408021162.0,171.0,4618.0,86.0,4025.0,97 (41)9,430.0,635.0,12.0,72.0,310.0,3823.0,502.0,5713.0,10.0,791.0,"Ft3,160,000",210.0,172.0,No,0.0
68,,69.0,-,-,-,EM Normandie,France,Master in Management,41937.0,42046.0,60.0,70.0,81.0,70.0,75 (59),48.0,49.0,27.0,38.0,20.0,27.0,36.0,11.0,2.0,69.0,17980,28.0,549.0,No,100.0
69,,70.0,55,46,571,Alliance Manchester Business School,UK,MSc in International Business and Management,424302637.0,424302637.0,6613.0,578.0,80.0,8020.0,94 (52)20,362.0,582.0,38.0,396.0,931.0,153.0,335.0,7713.0,0.0,862.0,"£18,500",153.0,103.0,No,0.0
70,,71.0,58,51,606,University of Bath School of Management,UK,MSc in Management,37274374.0,37274374.0,7810.0,625.0,85.0,522.0,98 (69)8,303.0,643.0,27.0,663.0,722.0,93.0,7125.0,7027.0,0.0,990.0,"£18,000",142.0,99.0,No,0.0
71,,72.0,69,66,693,"University of Economics, Prague",Czech Republic,Business Administration and Management,374011358.0,375721395.0,273.0,568.0,82.0,747.0,93 (80)5,482.0,5116.0,19.0,101.0,198.0,335.0,581.0,628.0,10.0,8413.0,3800,282.0,424.0,No,132.0
72,,73.0,67,70,701,BI Norwegian Business School,Norway,MSc in Business,557334735.0,556824684.0,354.0,661.0,88.0,7322.0,96 (90)4,250.0,402.0,62.0,246.0,187.0,120.0,7710.0,492.0,0.0,700.0,"NKr85,400",230.0,323.0,Yes,163.0
73,,74.0,62,67,685,Lancaster University Management School,UK,MSc in Management,393921115.0,393921115.0,6711.0,7416.0,90.0,448.0,76 (58)6,282.0,663.0,33.0,515.0,865.0,332.0,5519.0,7412.0,0.0,935.0,"£17,000",120.0,73.0,No,6110.0
74,,75.0,68,69,71,Warsaw School of Economics,Poland,MSc in Management,411042844.0,411042844.0,233.0,404.0,82.0,594.0,96 (31)8,440.0,565.0,67.0,10.0,154.0,110.0,746.0,6917.0,10.0,961.0,Zero,230.0,290.0,No,843.0
75,,76.0,-,-,-,Burgundy School of Business,France,Master in Management,43114.0,42261.0,55.0,75.0,84.0,79.0,90 (81),40.0,50.0,45.0,37.0,24.0,30.0,65.0,28.0,1.0,77.0,17600,30.0,495.0,No,100.0
76,,77.0,-,-,-,ESC Clermont,France,Master in Management,44985.0,44564.0,51.0,54.0,80.0,67.0,87 (79),56.0,41.0,25.0,41.0,13.0,8.0,40.0,44.0,2.0,72.0,16500,24.0,106.0,No,100.0
77,,78.0,63,62,684,Politecnico di Milano School of Management,Italy,MSc in Management Engineering,434701524.0,434701524.0,316.0,5937.0,83.0,4311.0,97 (67)19,294.0,315.0,33.0,33.0,2359.0,730.0,201.0,7514.0,0.0,7111.0,6717,250.0,533.0,No,416.0
78,,79.0,-,57,-,Aarhus BSS,Denmark,MSc in Finance and International Business,54456.0,54456.0,29.0,78.0,85.0,61.0,76 (35),41.0,26.0,33.0,23.0,10.0,56.0,54.0,65.0,0.0,84.0,20000,29.0,84.0,Yes,23.0
79,,80.0,-,-,-,University of Exeter Business School,UK,MSc in International Management,39172.0,39172.0,63.0,63.0,82.0,75.0,91 (27),36.0,58.0,29.0,49.0,86.0,24.0,69.0,79.0,0.0,78.0,"£18,000",11.0,159.0,No,0.0
