, ,Rank in 2014,Rank in 2013,Rank in 2012,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Course fee[18],Prog. length[19],Enrolments[20],Relevant degree,Internships[21]
22,,23.0,360,-,-,Rennes School of Business,France,Master in Management,490314321.0,491624384.0,601.0,512.0,5811.0,661.0,89 (83)2,363.0,542.0,6040.0,844.0,526.0,5020.0,147.0,112.0,10.0,811.0,17800,243.0,50439.0,No,1000.0
23,,24.0,140,170,18,City University: Cass,UK,MSc Management,534392128.0,537342399.0,457.0,4632.0,136.0,310.0,50 (92)22,305.0,492.0,479.0,702.0,931.0,537.0,104.0,4610.0,0.0,961.0,"£18,000",120.0,7230.0,No,1.0
24,,25.0,340,410,33,Institut Mines-Télécom Business School,France,Master in Management,50235798.0,50633309.0,2312.0,1413.0,2923.0,2510.0,90 (54)3,500.0,507.0,363.0,501.0,3112.0,4511.0,264.0,327.0,10.0,760.0,11380,317.0,34910.0,No,1000.0
25,,26.0,270,200,24,HEC Lausanne,Switzerland,Master of Science in Management,54718559.0,54718559.0,105.0,3110.0,4112.0,6926.0,97 (88)40,272.0,506.0,279.0,803.0,482.0,550.0,313.0,486.0,0.0,1000.0,"SFr2,520",240.0,17468.0,Yes,902.0
26,,27.0,-was 31,-was 23,-,Audencia Business School,France,MSc in Management Engineering,551742012.0,551742296.0,3314.0,443.0,5335.0,209.0,94 (99)3,418.0,2728.0,2110.0,401.0,146.0,6431.0,5817.0,233.0,20.0,816.0,16675,177.0,83573.0,No,1000.0
27,,28.0,290,270,28,Skema Business School,"France, US, China",Global Master of science in management,492301384.0,489711416.0,571.0,4310.0,601.0,457.0,84 (75)0,441.0,554.0,325.0,380.0,335.0,555.0,172.0,22.0,10.0,761.0,21975,240.0,47335.0,No,1000.0
28,,29.0,200,300,26,Eada Business School Barcelona,Spain,Master in International Management,54290571.0,54290571.0,444.0,74.0,246.0,4016.0,88 (88)1,320.0,3313.0,437.0,488.0,882.0,432.0,2310.0,246.0,10.0,581.0,20800,120.0,518.0,No,1000.0
29,,30.0,260,200,25,Toulouse Business School,France,Masters in Management,49420570.0,49381371.0,598.0,217.0,621.0,461.0,90 (54)2,402.0,531.0,400.0,413.0,330.0,300.0,292.0,92.0,20.0,921.0,18200,200.0,72046.0,Yes,1000.0
30,,31.0,-,35,-,Warwick Business School,UK,Warwick MSc in Management,58963.0,58963.0,66.0,40.0,39.0,22.0,97 (70),36.0,61.0,12.0,76.0,92.0,12.0,30.0,68.0,1.0,100.0,"£25,000",14.0,62.0,No,0.0
31,,32.0,360,490,39,Montpellier Business School,France,Master in Management,44069332.0,44295139.0,6428.0,3213.0,594.0,347.0,95 (97)1,462.0,511.0,530.0,422.0,359.0,330.0,424.0,192.0,20.0,942.0,20000,300.0,43412.0,No,1000.0
32,,33.0,230,180,25,Stockholm School of Economics,Sweden,MSc International Business,584041416.0,584101479.0,311.0,417.0,142.0,423.0,64 (100)36,231.0,4015.0,712.0,313.0,5830.0,0.0,391.0,361.0,22.0,927.0,"Skr300,000",211.0,4575.0,Yes,2618.0
